,Timestamp,Rainfall,Water level,Inc30mup,Inc30mdown ,Inc20mup ,Inc20mdown,Inc10mup,Inc10mdown,1stTensiometer,2ndTensiometer,3rdTensiometer ,4thTensiometer,5thTensiometer
32,02-12-2022 09:00,0,996.09984,-21.289436,-18.205488,-22.095959,-16.229772,-24.31253,-14.876933,-48.453864,-49.895408,181.58385,-3.201971,-48.276596
33,02-12-2022 10:00,0,925.05136,-17.487894,-15.526796,-20.623662,-13.904529,-22.130522,-12.674949,-48.119826,-49.864556,181.52707,-3.2521305,-47.96151
34,02-12-2022 11:00,0,713.90446,-4.720231,-10.546153,-15.834974,-8.049594,-16.627717,-5.097703,-47.87669,-49.837766,181.49464,-3.2661325,-47.724068
35,02-12-2022 12:00,0,785.69724,-5.2755355,-8.819405,-15.692809,-1.0064005,-5.86074,-3.681662,-47.766076,-49.82533,181.47469,-3.2831955,-47.632806
36,02-12-2022 13:00,0,716.55016,0.3320795,-7.350156,-12.53945,-4.0297905,-8.829114,-1.8638335,-47.79775,-49.829488,181.46501,-3.290398,-47.669498
37,02-12-2022 14:00,0,779.88984,-5.9532295,-12.40846,-15.99,-11.81857,-16.465804,-8.0487705,-47.89722,-49.84215,181.4753,-3.2928065,-47.75968
38,02-12-2022 15:00,0,-282.35465,18.758315,38.798084,25.293561,33.689267,34.488078,27.119868,-48.0608,-49.857848,181.50815,-3.258972,-47.909118
39,02-12-2022 16:00,0,-210.33608,25.189103,42.195304,24.569092,40.863718,24.017828,25.674016,-48.19427,-49.87126,181.52117,-3.240103,-48.028586
40,02-12-2022 17:00,0,-188.91745,18.695097,31.659081,18.62142,39.91887,20.355509,29.754653,-48.292584,-49.881624,181.54182,-3.222889,-48.121268
41,02-12-2022 18:00,0,-124.003482,28.028482,29.818986,16.153741,33.031479,21.506496,19.722448,-48.374296,-49.888906,181.54561,-3.220314,-48.190806
42,02-12-2022 19:00,0,-105.312034,27.368166,34.58548,22.222949,31.453153,20.133053,26.368314,-48.437758,-49.894248,181.5584,-3.197577,-48.241728
43,02-12-2022 20:00,0,-174.43209,30.484265,34.639257,20.521252,31.382676,24.021872,26.463106,-48.505318,-49.900224,181.56046,-3.1996805,-48.306236
44,02-12-2022 21:00,0,-205.32566,24.182071,29.83795,22.218865,37.268048,25.221572,26.04592,-48.60306,-49.908756,181.58272,-3.175276,-48.389952
45,02-12-2022 22:00,0,-74.401778,24.390155,23.852985,16.634529,31.944986,17.846273,20.550529,-48.698376,-49.918074,181.60297,-3.1576195,-48.480938
46,02-12-2022 23:00,0,-92.484092,22.262449,28.135557,20.050542,32.55199,25.186974,26.608256,-48.792716,-49.92434,181.62439,-3.141968,-48.566024
47,03-12-2022 00:00,0,142.95762,25.334832,29.989735,20.978324,25.310477,12.379508,24.25953,-48.869158,-49.9288,181.64134,-3.130295,-48.636946
48,03-12-2022 01:00,0,-118.817634,29.906967,33.57234,24.185154,31.141875,20.565303,24.791782,-48.923556,-49.933354,181.65576,-3.1228985,-48.68776
49,03-12-2022 02:00,0,-178.83782,32.000029,21.512559,18.745019,32.89138,25.392995,24.173371,-48.963794,-49.935872,181.66856,-3.1062545,-48.724238
50,03-12-2022 03:00,0,-186.89078,23.607863,35.969654,18.543589,33.589073,19.133517,28.174357,-48.972946,-49.936898,181.67341,-3.1145555,-48.734524
